touch_id,customer_id,campaign_name,channel,sent_at,opened,clicked,converted,device_type
1,567,Black Friday,email,2024-07-01 00:00:00,0,1,0,tablet
2,1151,Winback Flow,push,2025-03-15 14:00:00,1,0,1,mobile
3,83,Creator Campaign,social_ad,2025-02-28 06:00:00,1,0,0,desktop
4,131,Summer Promo,email,2024-08-15 17:00:00,1,0,0,desktop
5,139,Creator Campaign,push,2025-01-31 18:00:00,0,0,0,mobile
6,1117,Back to School,push,2025-08-08 08:00:00,0,0,0,mobile
7,81,Winback Flow,email,2025-02-06 15:00:00,0,0,0,mobile
8,778,Creator Campaign,push,2025-04-23 20:00:00,0,0,0,tablet
9,1102,Referral Blast,email,2025-12-16 19:00:00,0,1,1,mobile
10,526,Holiday Push,push,2026-02-06 13:00:00,1,0,0,desktop
11,132,Creator Campaign,push,2024-10-06 08:00:00,0,0,0,mobile
12,719,Referral Blast,sms,2024-05-02 17:00:00,1,1,0,mobile
13,217,Retention Nudge,email,2024-03-24 01:00:00,1,1,0,desktop
14,341,Retention Nudge,push,2024-12-17 08:00:00,1,0,0,desktop
15,662,Referral Blast,email,2025-03-26 05:00:00,0,0,1,desktop
16,469,Holiday Push,email,2024-12-08 14:00:00,1,0,0,desktop
17,210,Back to School,social_ad,2024-01-16 23:00:00,0,0,0,tablet
18,96,Summer Promo,sms,2025-05-31 23:00:00,0,0,0,mobile
19,278,Retention Nudge,email,2025-06-22 15:00:00,1,0,0,mobile
20,618,Winback Flow,sms,2024-12-11 16:00:00,0,1,0,desktop
21,34,Black Friday,email,2024-06-28 07:00:00,0,0,0,tablet
22,974,Referral Blast,social_ad,2024-05-14 05:00:00,0,0,0,mobile
23,763,Retention Nudge,email,2024-07-03 15:00:00,0,0,0,mobile
24,705,Referral Blast,email,2024-06-11 03:00:00,0,0,0,desktop
25,302,Summer Promo,push,2024-06-21 15:00:00,0,0,0,tablet
26,247,Back to School,social_ad,2024-09-04 02:00:00,1,0,1,tablet
27,454,Holiday Push,sms,2025-12-18 08:00:00,0,0,0,mobile
28,791,Summer Promo,email,2024-10-21 02:00:00,0,0,0,mobile
29,1111,Retention Nudge,push,2025-01-27 07:00:00,0,1,0,mobile
30,947,Summer Promo,email,2024-06-11 13:00:00,0,0,0,desktop
31,1194,Holiday Push,push,2025-03-25 11:00:00,1,0,0,tablet
32,953,Creator Campaign,email,2025-03-25 04:00:00,1,0,0,desktop
33,225,Referral Blast,email,2025-03-27 14:00:00,0,0,0,tablet
34,1043,Referral Blast,social_ad,2025-10-31 18:00:00,1,0,0,mobile
35,835,Black Friday,sms,2025-12-18 08:00:00,1,0,0,desktop
36,387,Creator Campaign,sms,2024-01-28 11:00:00,1,0,0,mobile
37,808,Winback Flow,email,2025-12-20 09:00:00,0,0,0,mobile
38,902,Black Friday,email,2026-01-18 10:00:00,1,0,0,desktop
39,781,Referral Blast,sms,2024-10-20 01:00:00,0,1,0,desktop
40,532,Retention Nudge,social_ad,2025-07-05 07:00:00,1,0,1,mobile
41,1094,Referral Blast,push,2025-12-08 20:00:00,1,0,0,mobile
42,1033,Black Friday,push,2025-03-23 20:00:00,1,0,0,tablet
43,875,Winback Flow,email,2025-05-16 03:00:00,1,0,0,desktop
44,821,Black Friday,sms,2025-12-12 09:00:00,0,0,0,tablet
45,258,Retention Nudge,email,2024-06-11 19:00:00,1,1,0,desktop
46,1019,Summer Promo,push,2025-08-01 02:00:00,1,0,0,mobile
47,798,Retention Nudge,push,2025-05-06 06:00:00,1,1,1,desktop
48,495,Black Friday,email,2024-01-20 10:00:00,1,1,0,mobile
49,5,Referral Blast,social_ad,2026-02-13 19:00:00,1,1,0,tablet
50,175,Winback Flow,email,2025-07-10 02:00:00,0,0,0,mobile
51,66,Winback Flow,email,2024-01-14 00:00:00,0,0,0,desktop
52,965,Back to School,email,2025-05-08 22:00:00,0,0,0,tablet
53,240,Summer Promo,push,2025-07-07 07:00:00,1,0,0,mobile
54,837,Summer Promo,email,2025-06-14 05:00:00,1,1,0,desktop
55,513,Holiday Push,social_ad,2024-07-27 15:00:00,1,0,0,mobile
56,1106,Creator Campaign,email,2024-03-13 18:00:00,0,0,0,mobile
57,98,Back to School,push,2025-05-11 21:00:00,1,1,0,desktop
58,381,Back to School,push,2024-07-31 05:00:00,1,0,0,desktop
59,1056,Winback Flow,email,2024-11-21 01:00:00,1,0,0,mobile
60,408,Retention Nudge,email,2024-03-31 19:00:00,1,1,1,desktop
61,308,Back to School,email,2024-08-24 19:00:00,1,0,0,desktop
62,529,Winback Flow,email,2024-06-13 15:00:00,1,0,1,mobile
63,757,Summer Promo,email,2025-10-26 09:00:00,0,0,0,mobile
64,717,Creator Campaign,social_ad,2024-09-28 21:00:00,1,0,0,tablet
65,580,Winback Flow,push,2026-01-13 09:00:00,1,0,0,desktop
66,909,Back to School,push,2025-05-08 05:00:00,1,1,1,mobile
67,358,Creator Campaign,email,2025-06-15 15:00:00,0,0,0,mobile
68,897,Summer Promo,email,2024-10-24 09:00:00,1,0,0,mobile
69,942,Back to School,social_ad,2025-11-24 23:00:00,0,0,1,desktop
70,639,Back to School,email,2024-03-18 14:00:00,0,0,0,mobile
71,803,Black Friday,email,2024-01-25 13:00:00,1,0,0,mobile
72,921,Holiday Push,email,2025-07-25 12:00:00,1,1,0,mobile
73,535,Back to School,email,2025-08-05 18:00:00,1,0,1,mobile
74,770,Retention Nudge,email,2024-05-08 00:00:00,1,0,0,mobile
75,968,Back to School,push,2024-05-03 06:00:00,1,0,0,desktop
76,1090,Back to School,push,2025-03-15 19:00:00,0,0,1,desktop
77,928,Summer Promo,email,2024-06-18 06:00:00,1,0,0,desktop
78,1149,Summer Promo,push,2025-01-19 02:00:00,0,0,0,mobile
79,419,Black Friday,email,2024-05-14 10:00:00,0,0,0,mobile
80,1009,Retention Nudge,social_ad,2024-01-31 17:00:00,0,0,0,desktop
81,1155,Holiday Push,email,2025-06-14 15:00:00,0,0,0,mobile
82,144,Black Friday,email,2024-01-30 19:00:00,1,0,0,desktop
83,158,Referral Blast,push,2024-06-30 16:00:00,1,0,0,desktop
84,331,Summer Promo,social_ad,2024-06-29 02:00:00,1,1,0,mobile
85,648,Retention Nudge,email,2025-02-19 06:00:00,1,1,0,mobile
86,229,Retention Nudge,email,2026-01-01 17:00:00,1,0,0,mobile
87,980,Winback Flow,push,2025-01-09 13:00:00,1,0,0,desktop
88,355,Creator Campaign,email,2024-03-17 01:00:00,0,0,0,mobile
89,350,Winback Flow,social_ad,2025-02-02 05:00:00,1,0,0,mobile
90,210,Holiday Push,sms,2025-12-27 10:00:00,0,0,0,desktop
91,394,Referral Blast,email,2025-09-14 06:00:00,0,0,0,tablet
92,268,Black Friday,social_ad,2024-11-20 13:00:00,0,1,0,desktop
93,596,Holiday Push,email,2025-06-03 09:00:00,0,0,0,mobile
94,376,Retention Nudge,sms,2024-08-23 15:00:00,1,0,0,desktop
95,1025,Referral Blast,email,2025-07-08 05:00:00,1,0,0,mobile
96,204,Back to School,sms,2024-09-17 00:00:00,0,0,1,tablet
97,272,Black Friday,email,2024-06-20 11:00:00,1,0,0,desktop
98,544,Back to School,push,2024-02-29 01:00:00,1,0,0,desktop
99,96,Referral Blast,sms,2024-09-08 05:00:00,0,1,0,mobile
100,1108,Retention Nudge,email,2025-07-30 02:00:00,1,0,0,mobile
101,242,Referral Blast,email,2024-06-09 16:00:00,1,0,0,mobile
102,987,Winback Flow,social_ad,2024-06-06 09:00:00,0,0,0,mobile
103,858,Retention Nudge,push,2025-09-24 12:00:00,1,0,0,mobile
104,956,Back to School,social_ad,2025-03-17 21:00:00,0,0,0,mobile
105,54,Summer Promo,email,2025-06-09 06:00:00,1,1,0,tablet
106,1004,Back to School,email,2024-07-16 03:00:00,1,0,1,mobile
107,546,Referral Blast,push,2024-06-22 19:00:00,0,0,0,desktop
108,443,Black Friday,email,2024-02-21 19:00:00,1,0,0,mobile
109,165,Summer Promo,email,2025-05-01 11:00:00,0,0,0,desktop
110,852,Referral Blast,email,2024-08-06 15:00:00,0,0,0,tablet
111,529,Creator Campaign,email,2025-11-29 17:00:00,1,1,0,mobile
112,621,Referral Blast,email,2025-06-27 03:00:00,0,0,0,desktop
113,209,Holiday Push,email,2026-01-24 20:00:00,0,0,0,mobile
114,780,Referral Blast,social_ad,2025-12-31 19:00:00,0,0,0,mobile
115,205,Holiday Push,email,2025-05-21 18:00:00,1,1,0,desktop
116,669,Back to School,email,2025-07-23 09:00:00,1,0,0,mobile
117,315,Summer Promo,email,2024-03-10 19:00:00,1,0,0,mobile
118,557,Black Friday,sms,2024-01-03 16:00:00,1,0,0,tablet
