order_item_id,order_id,product_id,quantity,unit_price,item_discount
1,1,61,3,363.53,0.0
2,1,125,1,459.95,0.0
3,2,178,3,361.66,0.0
4,2,67,2,51.07,4.2
5,2,78,1,39.06,3.61
6,3,99,1,89.04,5.0
7,4,169,1,120.4,5.39
8,5,115,1,51.83,2.06
9,5,150,1,232.32,
10,5,157,1,481.37,5.63
11,5,50,1,326.57,7.74
12,6,27,1,72.54,2.49
13,7,178,1,341.7,10.34
14,7,69,2,42.63,0.0
15,7,167,1,240.58,1.79
16,7,86,1,150.67,0.0
17,8,125,1,478.32,0.0
18,9,84,2,67.62,0.0
19,10,89,2,10.14,1.72
20,10,56,2,107.91,0.0
21,11,159,1,106.64,0.0
22,11,50,1,311.04,0.69
23,12,130,1,46.43,4.8
24,13,4,1,674.09,4.53
25,14,48,1,40.66,0.19
26,14,66,1,523.08,2.07
27,14,34,2,332.8,5.56
28,15,89,1,9.49,0.0
29,15,72,1,93.11,0.0
30,15,161,1,58.45,1.19
31,15,39,1,219.59,7.84
32,16,119,1,333.39,6.47
33,16,79,2,89.18,0.0
34,16,81,1,114.45,1.39
35,16,30,1,244.84,0.0
36,16,70,2,412.73,10.19
37,17,165,2,382.16,5.49
38,17,25,2,208.94,2.93
39,18,69,1,42.07,6.49
40,18,110,4,211.72,8.07
41,18,26,1,296.36,2.84
42,19,127,1,547.77,4.14
43,20,112,1,382.49,2.57
44,21,76,1,674.41,
45,22,32,1,527.04,4.93
46,22,132,2,114.98,9.87
47,22,122,1,551.29,0.0
48,23,78,1,42.5,9.36
49,23,10,3,14.65,0.0
50,24,32,2,551.56,4.01
51,24,1,1,63.51,4.48
52,25,99,1,79.35,5.27
53,25,145,1,354.95,2.01
54,25,77,1,500.98,4.94
55,25,82,1,672.76,4.32
56,26,51,3,386.45,0.04
57,27,64,1,298.62,3.21
58,27,88,1,264.35,0.0
59,27,112,1,460.87,0.0
60,28,53,3,384.13,4.13
61,29,159,2,122.32,0.0
62,29,176,1,431.65,1.33
63,29,35,2,53.46,2.44
64,29,62,1,323.8,5.73
65,29,69,1,37.67,3.45
66,30,77,2,506.46,5.77
67,30,90,1,20.65,1.36
68,30,55,1,196.82,0.0
69,30,30,2,256.17,0.0
70,31,34,1,318.81,4.67
71,32,55,1,197.93,0.0
72,33,12,2,91.19,0.0
73,34,11,1,388.86,3.72
74,34,3,2,193.09,4.81
75,34,124,2,348.45,1.52
76,34,108,3,309.66,1.2
77,35,34,1,313.08,4.13
78,35,48,3,40.33,7.96
79,35,107,3,181.81,6.59
80,35,129,4,630.88,0.0
81,36,50,1,340.13,0.0
82,37,13,2,29.82,0.0
83,38,149,1,101.42,0.11
84,38,54,1,93.39,3.11
85,38,176,1,475.0,0.01
86,38,139,1,455.27,0.0
87,39,35,2,65.39,0.0
88,39,39,4,215.54,
89,40,40,4,344.52,5.29
90,40,12,1,103.48,3.52
91,40,28,1,461.06,8.39
92,40,73,3,315.41,0.0
93,41,122,3,553.42,7.26
94,42,149,1,95.31,2.33
95,42,28,1,461.17,4.22
96,43,101,3,120.7,2.29
97,43,93,3,199.69,6.99
98,44,33,2,352.97,2.85
99,45,38,1,271.08,4.91
100,45,165,1,367.79,0.0
101,46,160,1,132.6,4.98
102,46,108,1,346.31,3.06
103,46,35,1,61.07,8.4
