order_id,customer_id,order_date,status,payment_method,shipping_fee,discount_amount,coupon_code,ship_city,delivery_days
1,259,2024-06-08 11:32:00,cancelled,credit_card,,7.36,,Sao Paulo,
2,701,2025-03-15 19:47:00,shipped,debit_card,8.99,26.55,,Salvador,1.0
3,170,2026-02-18 13:15:00,delivered,credit_card,4.99,0.0,SPRING15,Curitiba,3.0
4,236,2024-09-26 22:15:00,delivered,credit_card,4.99,0.0,WELCOME10,Rio de Janeiro,7.0
5,1029,2025-09-17 05:12:00,delivered,paypal,8.99,9.63,FREESHIP,Sao Paulo,3.0
6,561,2024-07-15 04:27:00,delivered,pix,4.99,8.42,,Sao Paulo,1.0
7,779,2025-02-21 16:19:00,returned,credit_card,0.0,9.44,,Sao Paulo,4.0
8,1045,2025-03-13 20:03:00,shipped,pix,4.99,0.0,,Porto Alegre,5.0
9,857,2024-09-09 10:57:00,delivered,paypal,8.99,,WELCOME10,Goiania,1.0
10,659,2024-08-05 09:30:00,delivered,pix,4.99,0.0,,Brasilia,5.0
11,517,2025-05-18 11:21:00,delivered,debit_card,14.99,11.75,WELCOME10,Goiania,5.0
12,1131,2024-05-13 10:23:00,delivered,credit_card,14.99,14.41,,Fortaleza,6.0
13,762,2024-08-31 20:17:00,delivered,credit_card,8.99,6.06,,Rio de Janeiro,4.0
14,268,2025-10-06 23:38:00,shipped,credit_card,0.0,5.38,,Goiania,2.0
15,391,2024-07-16 22:28:00,cancelled,pix,4.99,2.82,,Campinas,
16,703,2024-11-04 23:30:00,cancelled,pix,4.99,0.0,,Florianopolis,
17,315,2024-02-14 04:12:00,delivered,boleto,0.0,0.0,FREESHIP,Campinas,7.0
18,712,2025-01-09 14:40:00,delivered,credit_card,4.99,9.09,,Recife,2.0
19,1073,2025-05-30 00:10:00,delivered,credit_card,0.0,0.0,,Sao Paulo,5.0
20,1160,2024-03-03 22:12:00,delivered,pix,4.99,5.98,,Campinas,7.0
21,154,2024-06-18 14:48:00,shipped,credit_card,0.0,2.19,,Recife,9.0
22,557,2024-07-30 05:00:00,processing,credit_card,0.0,0.0,VIP20,Sao Paulo,3.0
23,1051,2025-04-11 16:45:00,delivered,pix,8.99,5.91,WELCOME10,Curitiba,9.0
24,550,2025-07-19 03:10:00,delivered,credit_card,8.99,8.7,,Sao Paulo,4.0
25,304,2024-10-11 04:17:00,delivered,credit_card,0.0,0.0,FREESHIP,Belo Horizonte,1.0
26,1095,2024-04-28 00:41:00,delivered,debit_card,8.99,23.09,,Porto Alegre,6.0
27,171,2025-12-23 17:16:00,delivered,debit_card,4.99,9.06,,Porto Alegre,3.0
28,118,2025-10-02 00:52:00,delivered,boleto,0.0,6.23,,Brasilia,6.0
29,525,2024-01-17 17:42:00,delivered,boleto,8.99,0.0,VIP20,Goiania,2.0
30,528,2025-10-03 20:38:00,shipped,paypal,4.99,19.53,,Porto Alegre,9.0
31,551,2024-07-27 18:40:00,delivered,credit_card,8.99,7.8,SPRING15,Florianopolis,7.0
32,889,2025-01-12 04:57:00,returned,credit_card,8.99,0.0,VIP20,Brasilia,8.0
33,361,2024-07-12 18:31:00,delivered,credit_card,8.99,,,Brasilia,3.0
34,364,2025-02-07 21:38:00,delivered,credit_card,14.99,0.9,,Belo Horizonte,4.0
35,932,2025-10-22 12:06:00,delivered,credit_card,4.99,4.68,WELCOME10,Sao Paulo,9.0
36,205,2025-01-21 12:01:00,delivered,credit_card,4.99,0.0,FREESHIP,Goiania,2.0
37,90,2024-05-15 07:49:00,processing,credit_card,8.99,9.15,VIP20,Fortaleza,2.0
38,28,2024-01-10 03:34:00,delivered,credit_card,4.99,12.63,,Brasilia,6.0
39,984,2026-02-16 18:57:00,cancelled,credit_card,0.0,6.39,FREESHIP,Porto Alegre,
40,981,2024-06-07 07:03:00,delivered,debit_card,4.99,0.0,WELCOME10,Rio de Janeiro,9.0
41,44,2024-02-15 03:34:00,processing,boleto,0.0,15.38,VIP20,Recife,5.0
42,291,2024-01-02 07:01:00,delivered,pix,8.99,13.48,,Goiania,4.0
43,588,2024-08-19 21:24:00,delivered,credit_card,8.99,0.0,,Belo Horizonte,2.0
44,209,2024-10-15 11:04:00,processing,credit_card,0.0,9.03,SPRING15,Rio de Janeiro,6.0
45,89,2025-09-11 04:11:00,delivered,credit_card,4.99,0.98,,Goiania,7.0
46,871,2024-06-02 21:43:00,cancelled,pix,4.99,7.73,,Porto Alegre,
47,213,2024-10-04 15:42:00,delivered,credit_card,8.99,5.93,WELCOME10,Florianopolis,6.0
48,157,2024-01-03 04:49:00,delivered,pix,4.99,3.0,,Florianopolis,3.0
49,980,2024-03-09 03:36:00,delivered,pix,4.99,12.75,VIP20,Rio de Janeiro,7.0
50,662,2024-05-10 05:49:00,delivered,pix,14.99,3.43,VIP20,Salvador,7.0
51,848,2025-09-08 20:21:00,delivered,credit_card,4.99,10.92,SPRING15,Belo Horizonte,3.0
52,785,2025-03-04 17:31:00,shipped,debit_card,4.99,24.67,WELCOME10,Belo Horizonte,9.0
53,788,2024-03-26 18:45:00,delivered,credit_card,8.99,6.68,,Florianopolis,7.0
54,450,2025-12-20 02:15:00,delivered,credit_card,,7.37,WELCOME10,Sao Paulo,6.0
55,743,2025-07-25 15:08:00,processing,credit_card,4.99,9.76,,Brasilia,2.0
56,604,2025-04-16 04:53:00,delivered,pix,0.0,19.38,,Belo Horizonte,9.0
57,432,2024-08-17 01:47:00,returned,credit_card,8.99,14.15,,Brasilia,3.0
58,774,2026-01-20 00:44:00,delivered,debit_card,4.99,0.0,WELCOME10,Goiania,7.0
59,1192,2024-03-16 15:53:00,shipped,debit_card,0.0,15.17,WELCOME10,Rio de Janeiro,3.0
60,502,2024-03-19 00:36:00,delivered,pix,4.99,0.0,,Florianopolis,7.0
61,287,2026-02-05 16:44:00,delivered,paypal,4.99,2.11,,Salvador,5.0
62,28,2024-10-20 03:09:00,shipped,credit_card,8.99,,,Brasilia,1.0
63,1031,2024-06-13 00:25:00,processing,credit_card,4.99,3.91,WELCOME10,Campinas,7.0
64,529,2025-08-08 16:19:00,delivered,boleto,4.99,11.0,,Rio de Janeiro,4.0
65,1069,2025-01-21 04:47:00,delivered,pix,8.99,4.36,,Recife,4.0
66,377,2026-02-02 17:38:00,delivered,paypal,14.99,12.11,FREESHIP,Porto Alegre,2.0
67,830,2025-01-24 05:03:00,delivered,pix,4.99,11.12,,Rio de Janeiro,6.0
68,214,2024-03-20 11:38:00,delivered,pix,4.99,2.1,,Campinas,6.0
69,219,2024-03-07 06:38:00,delivered,pix,4.99,6.23,FREESHIP,Campinas,1.0
70,414,2025-10-15 01:15:00,delivered,credit_card,14.99,0.0,,Sao Paulo,5.0
71,1155,2025-05-10 01:03:00,delivered,credit_card,8.99,2.28,,Porto Alegre,6.0
72,579,2025-02-11 16:12:00,delivered,paypal,4.99,0.0,,Brasilia,6.0
73,200,2024-12-05 13:57:00,delivered,boleto,8.99,0.52,,Brasilia,9.0
74,49,2025-08-24 12:30:00,delivered,credit_card,4.99,11.59,,Salvador,1.0
75,162,2025-10-02 02:45:00,delivered,pix,4.99,2.11,,Goiania,4.0
76,289,2026-01-05 05:32:00,delivered,pix,8.99,7.0,WELCOME10,Campinas,9.0
