payment_id,order_id,amount_paid,currency,paid_at,payment_status
1,1,1543.18,BRL,2024-06-08 11:32:00,paid
2,2,1200.81,BRL,2025-03-15 19:47:00,paid
3,3,89.03,BRL,2026-02-18 13:15:00,paid
4,4,120.0,BRL,2024-09-26 22:15:00,paid
5,5,1076.02,BRL,2025-09-17 05:12:00,paid
6,6,66.62,BRL,2024-07-15 04:27:00,paid
7,7,796.64,BRL,2025-02-21 16:19:00,paid
8,8,483.31,BRL,2025-03-13 20:03:00,paid
9,9,144.23,BRL,2024-09-09 10:57:00,paid
10,10,239.37,BRL,2024-08-05 09:30:00,paid
11,11,420.23,BRL,2025-05-18 11:21:00,paid
12,12,42.21,BRL,2024-05-13 10:23:00,paid
13,13,672.49,BRL,2024-08-31 20:17:00,paid
14,14,1216.14,BRL,2025-10-06 23:38:00,paid
15,15,373.78,BRL,2024-07-16 22:28:00,paid
16,16,1683.44,BRL,2024-11-04 23:30:00,paid
17,17,1173.78,BRL,2024-02-14 04:12:00,paid
18,18,1163.81,BRL,2025-01-09 14:40:00,paid
19,19,543.63,BRL,2025-05-30 00:10:00,paid
20,20,378.93,BRL,2024-03-03 22:12:00,paid
21,21,672.22,BRL,2024-06-18 14:48:00,partial_refund
22,22,1293.49,BRL,2024-07-30 05:00:00,paid
23,23,80.17,BRL,2025-04-11 16:45:00,paid
24,24,1158.43,BRL,2025-07-19 03:10:00,paid
25,25,1591.5,BRL,2024-10-11 04:17:00,paid
26,26,1145.21,BRL,2024-04-28 00:41:00,paid
27,27,1016.56,BRL,2025-12-23 17:16:00,paid
28,28,1142.03,BRL,2025-10-02 00:52:00,partial_refund
29,29,1140.72,BRL,2024-01-17 17:42:00,paid
30,30,1721.06,BRL,2025-10-03 20:38:00,paid
31,31,315.33,BRL,2024-07-27 18:40:00,paid
32,32,206.92,BRL,2025-01-12 04:57:00,partial_refund
33,33,191.37,BRL,2024-07-12 18:31:00,paid
34,34,2403.76,BRL,2025-02-07 21:38:00,paid
35,35,3484.65,BRL,2025-10-22 12:06:00,paid
36,36,345.12,BRL,2025-01-21 12:01:00,paid
37,37,59.48,BRL,2024-05-15 07:49:00,paid
38,38,1114.21,BRL,2024-01-10 03:34:00,paid
39,39,986.55,BRL,2026-02-16 18:57:00,paid
40,40,2876.64,BRL,2024-06-07 07:03:00,failed
41,41,1637.62,BRL,2024-02-15 03:34:00,paid
42,42,545.44,BRL,2024-01-02 07:01:00,paid
43,43,960.88,BRL,2024-08-19 21:24:00,paid
44,44,694.06,BRL,2024-10-15 11:04:00,partial_refund
45,45,637.97,BRL,2025-09-11 04:11:00,paid
46,46,776.99,BRL,2024-06-02 21:43:00,paid
47,47,351.74,BRL,2024-10-04 15:42:00,refunded
48,48,1384.58,BRL,2024-01-03 04:49:00,refunded
49,49,193.66,BRL,2024-03-09 03:36:00,paid
50,50,473.23,BRL,2024-05-10 05:49:00,paid
51,51,1277.07,BRL,2025-09-08 20:21:00,failed
52,52,1937.06,BRL,2025-03-04 17:31:00,paid
53,53,380.16,BRL,2024-03-26 18:45:00,paid
54,54,346.57,BRL,2025-12-20 02:15:00,paid
55,55,1893.55,BRL,2025-07-25 15:08:00,paid
56,56,933.07,BRL,2025-04-16 04:53:00,paid
57,57,89.34,BRL,2024-08-17 01:47:00,paid
58,58,2620.59,BRL,2026-01-20 00:44:00,failed
59,59,1805.37,BRL,2024-03-16 15:53:00,paid
60,60,546.58,BRL,2024-03-19 00:36:00,paid
61,61,572.05,BRL,2026-02-05 16:44:00,paid
62,62,664.17,BRL,2024-10-20 03:09:00,paid
63,63,199.94,BRL,2024-06-13 00:25:00,refunded
64,64,126.96,BRL,2025-08-08 16:19:00,paid
65,65,1032.05,BRL,2025-01-21 04:47:00,paid
66,66,708.68,BRL,2026-02-02 17:38:00,paid
67,67,672.75,BRL,2025-01-24 05:03:00,paid
68,68,1545.97,BRL,2024-03-20 11:38:00,paid
69,69,1095.99,BRL,2024-03-07 06:38:00,paid
70,70,438.41,BRL,2025-10-15 01:15:00,paid
71,71,1581.33,BRL,2025-05-10 01:03:00,paid
72,72,1639.48,BRL,2025-02-11 16:12:00,paid
73,73,2898.82,BRL,2024-12-05 13:57:00,paid
74,74,456.57,BRL,2025-08-24 12:30:00,paid
75,75,3224.31,BRL,2025-10-02 02:45:00,paid
76,76,1271.59,BRL,2026-01-05 05:32:00,paid
77,77,599.3,BRL,2025-04-03 04:21:00,paid
78,78,451.25,BRL,2025-12-30 21:24:00,refunded
79,79,585.5,BRL,2025-08-03 20:31:00,paid
80,80,1024.64,BRL,2024-03-30 15:06:00,paid
81,81,694.95,BRL,2024-10-13 18:23:00,paid
82,82,66.53,BRL,2025-04-29 08:48:00,failed
83,83,242.29,BRL,2025-08-05 15:02:00,paid
84,84,1062.77,BRL,2025-03-27 11:32:00,paid
85,85,1505.46,BRL,2024-09-26 21:02:00,paid
86,86,872.04,BRL,2024-06-07 03:18:00,paid
87,87,1468.96,BRL,2025-02-01 14:42:00,paid
88,88,506.31,BRL,2024-04-21 02:11:00,paid
89,89,496.54,BRL,2025-02-15 10:04:00,paid
90,90,1013.87,BRL,2024-04-27 08:29:00,paid
91,91,672.71,BRL,2024-11-23 18:02:00,paid
92,92,1850.99,BRL,2024-08-06 01:13:00,paid
93,93,918.05,BRL,2025-10-12 05:05:00,refunded
94,94,1352.55,BRL,2025-03-05 16:13:00,paid
95,95,242.5,BRL,2026-02-10 09:10:00,paid
96,96,449.37,BRL,2025-12-06 05:44:00,paid
97,97,402.63,BRL,2025-07-28 19:12:00,paid
98,98,59.75,BRL,2025-11-11 23:47:00,paid
99,99,507.76,BRL,2024-11-20 03:50:00,paid
100,100,219.8,BRL,2025-04-06 04:40:00,paid
101,101,1968.46,BRL,2026-02-02 06:26:00,refunded
102,102,685.93,BRL,2024-08-02 06:43:00,paid
103,103,254.89,BRL,2025-05-29 03:44:00,failed
104,104,145.16,BRL,2024-12-26 17:27:00,paid
105,105,2135.96,BRL,2025-03-14 11:11:00,paid
106,106,707.27,BRL,2025-11-06 22:43:00,refunded
107,107,94.92,BRL,2024-04-16 02:41:00,paid
108,108,331.9,BRL,2024-04-12 20:28:00,paid
109,109,730.98,BRL,2024-08-04 07:49:00,paid
110,110,6.24,BRL,2024-12-25 14:26:00,paid
111,111,1457.24,BRL,2024-10-17 08:56:00,paid
112,112,455.06,BRL,2024-01-05 13:02:00,paid
113,113,2186.24,BRL,2024-12-09 05:36:00,paid
114,114,842.53,BRL,2024-02-22 18:27:00,paid
115,115,404.06,BRL,2025-02-16 10:33:00,paid
116,116,622.98,BRL,2024-05-01 20:36:00,paid
117,117,1412.92,BRL,2024-06-11 10:13:00,paid
118,118,271.27,BRL,2024-01-29 19:45:00,paid
119,119,91.79,BRL,2026-01-30 23:08:00,paid
120,120,316.75,BRL,2025-10-30 07:19:00,failed
121,121,1712.03,BRL,2025-11-06 01:17:00,paid
122,122,3754.74,BRL,2024-04-15 03:29:00,paid
123,123,446.15,BRL,2024-03-20 15:54:00,paid
