ticket_id,customer_id,order_id,created_at,issue_type,priority,status,channel,satisfaction_score,resolved_in_hours
1,337,3155.0,2025-04-01 01:00:00,payment_issue,low,closed,email,2.0,21.0
2,301,2713.0,2025-06-15 14:00:00,product_question,low,pending,email,5.0,8.7
3,1061,,2024-08-26 08:00:00,payment_issue,high,pending,email,1.0,3.0
4,461,2184.0,2024-01-26 04:00:00,delivery_issue,high,closed,phone,3.0,
5,492,3819.0,2025-07-16 10:00:00,delivery_issue,low,pending,email,5.0,7.1
6,362,,2024-10-14 01:00:00,payment_issue,low,closed,chat,1.0,12.9
7,532,,2025-07-02 00:00:00,damaged_item,low,closed,phone,2.0,2.3
8,1143,3156.0,2025-10-13 19:00:00,payment_issue,high,open,chat,1.0,9.8
9,409,3282.0,2024-09-18 21:00:00,damaged_item,medium,closed,chat,5.0,11.3
10,954,3598.0,2024-04-16 03:00:00,account_problem,low,pending,chat,4.0,6.1
11,984,1586.0,2025-07-03 02:00:00,damaged_item,medium,closed,email,4.0,25.8
12,322,3307.0,2024-03-07 23:00:00,account_problem,low,closed,email,5.0,16.4
13,176,3881.0,2024-08-28 23:00:00,delivery_issue,medium,pending,chat,4.0,8.1
14,598,517.0,2024-01-21 22:00:00,refund_request,medium,pending,email,5.0,5.9
15,1166,618.0,2025-12-08 03:00:00,damaged_item,low,closed,phone,5.0,14.0
16,869,986.0,2024-06-22 09:00:00,product_question,medium,closed,email,4.0,11.1
17,983,3536.0,2025-02-06 05:00:00,account_problem,low,open,chat,3.0,
18,369,1136.0,2024-11-15 14:00:00,damaged_item,high,closed,email,5.0,2.0
19,258,1486.0,2024-09-20 15:00:00,delivery_issue,high,closed,phone,5.0,7.6
20,1131,,2025-03-09 14:00:00,account_problem,medium,closed,email,4.0,6.5
21,804,840.0,2025-03-29 02:00:00,payment_issue,medium,closed,phone,2.0,37.5
22,943,2944.0,2025-09-16 04:00:00,delivery_issue,low,closed,email,3.0,9.6
23,394,1414.0,2024-11-19 04:00:00,delivery_issue,low,pending,chat,,5.2
24,388,213.0,2024-10-26 02:00:00,refund_request,high,open,email,5.0,4.1
25,699,2058.0,2024-10-02 04:00:00,payment_issue,high,pending,chat,2.0,
26,135,786.0,2024-12-20 10:00:00,delivery_issue,low,pending,email,4.0,15.2
27,136,1481.0,2025-07-24 03:00:00,payment_issue,low,closed,chat,3.0,
28,189,3643.0,2025-09-10 00:00:00,delivery_issue,medium,closed,email,4.0,6.4
29,967,3738.0,2025-10-30 13:00:00,payment_issue,low,closed,chat,4.0,
30,430,959.0,2024-04-09 12:00:00,delivery_issue,medium,closed,chat,3.0,
31,1134,1998.0,2024-07-20 06:00:00,product_question,low,closed,chat,,8.8
32,661,2858.0,2024-01-09 07:00:00,product_question,low,closed,email,4.0,
33,182,1433.0,2024-02-03 03:00:00,refund_request,low,closed,chat,,11.2
34,827,,2025-04-06 10:00:00,refund_request,low,closed,chat,1.0,11.5
35,1187,2394.0,2025-08-25 21:00:00,delivery_issue,medium,closed,email,4.0,9.3
36,920,,2025-04-27 01:00:00,payment_issue,low,closed,email,5.0,13.7
37,4,3933.0,2025-01-04 13:00:00,refund_request,medium,closed,email,5.0,39.2
38,758,,2025-07-19 06:00:00,delivery_issue,medium,open,chat,,16.7
39,444,2178.0,2024-12-03 09:00:00,delivery_issue,high,closed,phone,,9.4
40,396,,2025-02-09 15:00:00,product_question,medium,pending,chat,,21.8
41,895,1888.0,2025-05-27 13:00:00,product_question,low,closed,email,,15.7
